"KISATUINNATUT" " K IH S AH T UW IH N N AH T UW T "
"NAJAAPILU" "N AH JH AH AH P IH L UW "
"MAUNNGALUTIT" "M AH UW N NG AH L UW T IY T "
"KUUJJUARAAPILIALANGAJUT" "K UW UW JH JH UW AH HH AH AH P IH L IY AH L AH NG AH JH UW T "
"IQALUTSIULANGAVIT" " IY K AH L UW T S IY UW L AH NG AH V IH T "
"AIPPANUUVIT" " AH IY P P AH N UW UW V IH T "
"IMMUMILLU" " IH M M UW M IY L L UW "
"ATAUSIQ" " AH T AH UW S IY K "
"KAMITSIMALUTIK" "K AH M IY T S IH M AH L UW T IH K "
"SINITTALANGAJUT" "S IH N IY T T AH L AH NG AH JH UW T "
"TIKITTUQ" " T IH K IY T T UW K "
"IRNGUTANGAI" " IY HH NG UW T AH NG AH I"
"IVVILI" " IH V V IH L IY "
"PUALUUKKALU" "P UW AH L UW UW K K AH L UW "
"NIRILAURTA" " N IY HH IH L AH UW HH T AH "
"IVVILU" " IH V V IH L UW "
"AANNIAVITAALAARQUGUT" " AH AH N N IY AH V IH T AH AH L AH AH HH K UW G UW T "
"UMIAMMARIK" " UW M IY AH M M AH HH IH K "
"NIQITAARTUALUUGATTA" " N IY K IY T AH AH HH T UW AH L UW UW G AH T T AH "
"UMIARMIT" " UW M IY AH HH M IY T "
"ANURINNGITUARPAT" " AH N UW HH IH N NG IY T UW AH HH P AH T "
"NAAMATUQ" "N AH AH M AH T UW K "
"SOUNDINGQARLIIKIK" " S OW UW ND IH N G K AH HH L IY IH K IH K "
"ALLATIQARSUNGALU" " AH L L AH T IY K AH HH S UW NG AH L UW "
"MIVVIMUURTAULANGAVIT" "M IH V V IH M UW UW HH T AH UW L AH NG AH V IH T "
"IMMAQA" " IH M M AH K AH "
"ULIMAUTIQRQINUK" " UW L IH M AH UW T IY K HH K IH N UW K"
"ANAANAQAQUNGA" " AH N AH AH N AH K AH K UW NG AH "
"NURQALUTIK" "N UW HH K AH L UW T IH K "
"APIRSUSIVUNGA" " AH P IH HH S UW S IH V UW NG AH "
"PIIRLUGIT" " P IH IY HH L UW G IH T "
"PIIRLUGIK" " P IH IY HH L UW G IH K "
"ILINNIATITSIQALAARTUT" " IH L IH N N IY AH T IY T S IY K AH L AH AH HH T UW T "
"IMMUTULANGAGAMA" " IH M M UW T UW L AH NG AH G AH M AH "
"AKITUJUQ" " AH K IY T UW JH UW K "
"TUPAASIVARA" " T UW P AH AH S IH V AH HH AH "
"TATAPPUQ" " T AH T AH P P UW K "
"MAUNNGALUNGA" "M AH UW N NG AH L UW NG AH "
"KAAPPIT" "K AH AH P P IY T "
"ANAANAKKUKALU" " AH N AH AH N AH K K UW K AH L UW "
"NATSIVINIUP" "N AH T S IH V IH N IY UW P"
"ULLUMILUUNNIIT" " UW L L UW M IY L UW UW N N IY IY T "
"SUMUT" "S UW M UW T "
"UQAUSIRNIK" " UW K AH UW S IY HH N IH K "
"JAAKUSILU" " JH AH AH K UW S IY L UW "
"MUT" "M UW T "
"ANNIMIK" " AH N N IH M IH K "
"SOUNDINGSILENT" " S OW UW ND IH N G S IY LEN T "
"MALILAARQUGUK" "M AH L IY L AH AH HH K UW G UW K"
"TIKITUARPAT" " T IH K IY T UW AH HH P AH T "
"MAMARIJARA" "M AH M AH HH IY JH AH HH AH "
"KAMIALUUNNIK" "K AH M IY AH L UW UW N N IH K "
"KINAUVIT" "K IH N AH UW V IH T "
"IMAQATSIARUNNAIRATTA" " IH M AH K AH T S IY AH HH UW N N AH IY HH AH T T AH "
"AANNIAVITAALANGALIRQUGUT" " AH AH N N IY AH V IH T AH AH L AH NG AH L IY HH K UW G UW T "
"NIUVIRASUARQIT" " N IY UW V IH HH AH S UW AH HH K IY T "
"MISIRAQARQA" " M IY S IY HH AH K AH HH K AH "
"NATSIVINIRTURUMANNGILATIT" "N AH T S IH V IH N IY HH T UW HH UW M AH N NG IH L AH T IY T "
"KILLAQUQ" " K IY L L AH K UW K "
"ATUINNAULAARSIVIT" " AH T UW IH N N AH UW L AH AH HH S IH V IY T "
"AMISUUVISI" " AH M IY S UW UW V IH S IY "
"NUNAARTAUSIMALIRQAT" "N UW N AH AH HH T AH UW S IH M AH L IY HH K AH T "
"SITAMANIK" " S IY T AH M AH N IH K "
"ILITSINIISIVUNGA" " IY L IY T S IH N IY IY S IH V UW NG AH "
"NAJAAPILLU" "N AH JH AH AH P IH L L UW "
"QAUJILAARQUNGA" " K AH UW JH IH L AH AH HH K UW NG AH "
"ALIASPPUNGA" " AH L IY AH S P P UW NG AH "
"JAAKUSIMIK" " JH AH AH K UW S IH M IH K "
"AKIANI" " AH K IY AH N IY "
"ANGINIRSAIT" " AH NG IH N IY HH S AH IY T "
"INUILLU" " IH N UW IY L L UW "
"ATURTAULAARTUQ" " AH T UW HH T AH UW L AH AH HH T UW K "
"TAALANIK" " T AH AH L AH N IH K "
"IMMUTUGIIRQITIK" " IH M M UW T UW G IY IY HH K IY T IH K "
"AMMALU" " AH M M AH L UW "
"IMIRARMAVUNGA" " IH M IY HH AH HH M AH V UW NG AH "
"NIUVIRUMAGALUARTUNGA" " N IY UW V IH HH UW M AH G AH L UW AH HH T UW NG AH "
"UNNUAKIMAAQ" " UW N N UW AH K IH M AH AH K "
"QALLUNAALLU" " K AH L L UW N AH AH L L UW "
"LIIK" " L IY IH K "
"ARNARALU" " AH HH N AH HH AH L UW "
"NIRITSIAKAINNARATTA" " N IY HH IY T S IY AH K AH IH N N AH HH AH T T AH "
"ANGAJURQAANNGUVUNGA" " AH NG AH JH UW HH K AH AH N NG UW V UW NG AH "
"ULIKATTAIT" " UW L IH K AH T T AH IY T "
"SIAJAMIK" " S IY AH JH AH M IH K "
"AKILIISIVUNGA" " AH K IY L IY IY S IH V UW NG AH "
"ANNURAARIARTULIRITTIK" " AH N N UW HH AH AH HH IY AH HH T UW L IY HH IY T T IH K "
"NIQITSAMINIK" " N IY K IY T S AH M IH N IH K "
"TIITULANGAVIT" " T IY IY T UW L AH NG AH V IH T "
"AANNIAVITAARIAQ" " AH AH N N IY AH V IH T AH AH HH IY AH K "
"PAASALU" "P AH AH S AH L UW "
"NIRITILAURUK" " N IY HH IY T IH L AH UW HH UW K"
"UIMALIRIT" " UW IH M AH L IY HH IY T "
"SITAMAVILUNGA" " S IY T AH M AH V IH L UW NG AH "
"AMISUALUUGATTA" " AH M IY S UW AH L UW UW G AH T T AH "
"IMMUTULAURIT" " IH M M UW T UW L AH UW HH IY T "
"ITIRIT" " IY T IY HH IY T "
"TUPATSIMANNGITUQ" " T UW P AH T S IH M AH N NG IY T UW K "
"NANUVINIIT" "N AH N UW V IH N IY IY T "
"ILINNUT" " IH L IH N N UW T "
"ILLIMUT" " IY L L IH M UW T "
"PITATSAMILLU" " P IH T AH T S AH M IY L L UW "
"PARNAISAALIRLUK" "P AH HH N AH IY S AH AH L IY HH L UW K"
"TURSUANGA" " T UW HH S UW AH NG AH "
"SUKANNIPAAQ" "S UW K AH N N IY P AH AH K "
"ATAATAQARQUNGA" " AH T AH AH T AH K AH HH K UW NG AH "
"PUASI" "P UW AH S IY "
"KAAPIQARPA" "K AH AH P IH K AH HH P AH "
"ALIASUPPITIK" " AH L IY AH S UW P P IY T IH K "
"UPINNARANI" " UW P IH N N AH HH AH N IY "
"UKUA" " UW K UW AH "
"ARNAQ" " AH HH N AH K "
"NIGITAARTUALUUGATTA" " N IY G IH T AH AH HH T UW AH L UW UW G AH T T AH "
"TUPAGUNNALAARQITIK" " T UW P AH G UW N N AH L AH AH HH K IY T IH K "
"ANNURAATIT" " AH N N UW HH AH AH T IY T "
"ILINNIALAARTUT" " IH L IH N N IY AH L AH AH HH T UW T "
"TUURMILU" " T UW UW HH M IY L UW "
"NUNALIALAARTUT" "N UW N AH L IY AH L AH AH HH T UW T "
"QILALUGAVINIILLU" " K IH L AH L UW G AH V IH N IY IY L L UW "
"AANNIAVITSAQ" " AH AH N N IY AH V IH T S AH K "
"TAKUGUMAVUNGA" " T AH K UW G UW M AH V UW NG AH "
"KIINAUJALIRIJIUVUNGA" " K IY IH N AH UW JH AH L IY HH IY JH IY UW V UW NG AH "
"QILALUGAVINIUP" " K IH L AH L UW G AH V IH N IY UW P"
"PINASUQATIGIIULAARTUT" "P IH N AH S UW K AH T IG IY IY UW L AH AH HH T UW T "
"SILATSIANGUTUARPAT" " S IY L AH T S IY AH NG UW T UW AH HH P AH T "
"URSUALUUTIINNIK" " UW HH S UW AH L UW UW T IY IH N N IH K "
"AANNIASIURTIMARIMMUT" " AH AH N N IY AH S IY UW HH T IH M AH HH IH M M UW T "
"KINAKKUNUT" "K IH N AH K K UW N UW T "
"PANIRTITATURUMAVIT" "P AH N IY HH T IY T AH T UW HH UW M AH V IH T "
"IMAQATSIARUNNAIQISI" " IH M AH K AH T S IY AH HH UW N N AH IY K IY S IY "
"UMIARMI" " UW M IY AH HH M IY "
"AANNIAVILIALANGAVUNGA" " AH AH N N IY AH V IH L IY AH L AH NG AH V UW NG AH "
"TARQINNIK" " T AH HH K IH N N IH K "
"AATAMIMIK" " AH AH T AH M IH M IH K "
"AANNIAVIAMMIT" " AH AH N N IY AH V IH AH M M IY T "
"KIINAUJALIRIJIQARSUNGALU" " K IY IH N AH UW JH AH L IY HH IY JH IY K AH HH S UW NG AH L UW "
"NANITTUT" "N AH N IY T T UW T "
"MIKIJUMIK" "M IH K IY JH UW M IH K "
"UQAUSIQARQIT" " UW K AH UW S IY K AH HH K IY T "
"TIKITITAUJUVINIIT" " T IH K IY T IY T AH UW JH UW V IH N IY IY T "
"TIITURUMAMMIJUNGA" " T IY IY T UW HH UW M AH M M IY JH UW NG AH "
"QATSIRAARTUQ" " K AH T S IY HH AH AH HH T UW K "
"IJJILIRTUALUUMMAT" " IY JH JH IY L IY HH T UW AH L UW UW M M AH T "
"MISIRAQARQUQ" " M IY S IY HH AH K AH HH K UW K "
"UVIKKAILU" " UW V IH K K AH IH L UW "
"ATAUSINNGULIRPAT" " AH T AH UW S IH N NG UW L IY HH P AH T "
"QILALUGAUP" " K IH L AH L UW G AH UW P"
"TATALLUGU" " T AH T AH L L UW G UW "
"TIKITTUVINIUVAT" " T IH K IY T T UW V IH N IY UW V AH T "
"IRNIK" " IY HH N IH K "
"MIAJILU" " M IY AH JH IH L UW "
"QANGATTAJUUMMIISUTIK" " K AH NG AH T T AH JH UW UW M M IY IY S UW T IH K "
"ILINNIATITTSIJIILLU" " IH L IH N N IY AH T IY T T S IY JH IY IY L L UW "
"IRNIQ" " IY HH N IY K "
"QARLIIKIK" " K AH HH L IY IH K IH K "
"MALILAARTUT" "M AH L IY L AH AH HH T UW T "
"TUPATSIMAVA" " T UW P AH T S IH M AH V AH "
"LISIMILLU" " L IY S IH M IY L L UW "
"KIAJILU" " K IY AH JH IH L UW "
"MITUIJAUTIMILLU" " M IY T UW IY JH AH UW T IH M IY L L UW "
"AULLASIVUGUT" " AH UW L L AH S IH V UW G UW T "
"ILAALI" " IH L AH AH L IY "
"ILISAPIKKUNIILANGAJUT" " IY L IY S AH P IH K K UW N IY IY L AH NG AH JH UW T "
"ILINNIATITSIJIIT" " IH L IH N N IY AH T IY T S IY JH IY IY T "
"NAAKKUT" "N AH AH K K UW T "
"UQAUJJIRATANNGINAMA" " UW K AH UW JH JH IY HH AH T AH N NG IH N AH M AH "
"ILINNIAPUNGA" " IH L IH N N IY AH P UW NG AH "
"TUPARQAJAJJANGILAGUK" " T UW P AH HH K AH JH AH JH JH AH NG IY L AH G UW K"
